username,comment,videoid,title,views,likes,dislikes,polarity,label
Maisie Mears,Only here because 2019 wasn’t even a rewind ffs,Rewind 2015,YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,151641936,2899029,208570,0.0,neutral
iambirb,5 years later and I just now realize the dance battle was about the dress.,Rewind 2015,YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,151641936,2899029,208570,0.0,neutral
juliaa,this made me so nostalgic i felt like crying. THIS is a rewind. one of the best.,Rewind 2015,YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,151641936,2899029,208570,0.10000000000000002,positive
Erf Boy,Only people who hated Rewind 2019 can like this comment,Rewind 2015,YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,151641936,2899029,208570,-0.45,negative
Mohit,who else is here after the terrible 2018 rewind?,Rewind 2015,YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,151641936,2899029,208570,-1.0,negative
Benji’s Adventure Time,Who”s here after the 2019 bad rewind,Rewind 2015,YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,151641936,2899029,208570,-0.6999999999999998,negative
Google Demonetization,"Hey look, it’s back when rewind was good.",Rewind 2015,YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,151641936,2899029,208570,0.35,positive
Kaitlyn,This is the best rewind. 2019 is literally a count down.... I want one like this YouTube!,Rewind 2015,YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,151641936,2899029,208570,0.4027777777777778,positive
EyBeDo Gamer,"2:47

Even FNaF in 2015 Rewind fits better than Fortnite in 2019 Rewind.

2019 Rewind is most disliked video in 2019.It's pathetic,but deserve this.",Rewind 2015,YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,151641936,2899029,208570,0.26666666666666666,positive
DOT COM,Coming back to wash my eyes,Rewind 2015,YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,151641936,2899029,208570,0.0,neutral
Nadir Elaouni,Who is here in 2019 trying to see what went wrong with rewind,Rewind 2015,YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,151641936,2899029,208570,-0.5,negative
